"Name","Type of Institution","Old Name","Date Reregistered","Street Address","Area","State","Telephone","Fax","website","eMail","Postal Address","Country","Ownership Type","Comments","Date Licensed"
"Emzy BDC","Bureau De Change","","","No.96/102 Broad Street, Lagos Island","","LAG","","","","","","NGN","Domestic","","",
"Enan Bureau De Change Limited","Bureau De Change","","","SUITE 1, 2ND FLOOR, ZONE 4 SHOPPING CENTER, WUSE, ABUJA","","ABU","8033115040","","","","","NGN","Domestic","","",
"Enbit BDC Ltd","Bureau De Change","","","Suite 8, No. 39 David Ejoor Crescent, Adisa Plaza","Gudu District, Abuja","ABU","","","","","","NGN","Domestic","","",
"Encresser BDC","Bureau De Change","","","No.24B, Adekunle Fajuyi G.R.A, Ikeja","","LAG","","","","","","NGN","Domestic","","",
"Enduser BDC Ltd ","Bureau De Change","","","NO. 55 IBRAHIM TAIWO ROAD, KANO","","KAN","080-58196403","","","","","NGN","Domestic","","",
"Enhakkore Bureau De Change Limited","Bureau De Change","","","Shop 13, Withgold Complex, Sabo - Ibadan","","OYO","","","","","","NGN","Domestic","","",
"Enterprise BDC Limited","Bureau De Change","","","C48 Corner Shop, Drive 1,Prince & Prencess Estate, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Envoy BDC","Bureau De Change","","","CITY SHOPPING CENTRE, PLOT 77/78,NIGER BRIDGE HEAD, BEHIND ZENITH BANK PLC, ONITSHA","","ANA","8033338464","","","","","NGN","Domestic","","",
"Epoch Bureau De Change","Bureau De Change","","","Plot 54, Adetokunbo Ademola Street, Victoria Island","","LAG","","","","","","NGN","Domestic","","",
"Equideb Bureau De Change Limited","Bureau De Change","","","1, Igbosere Street, Lagos Island - Lagos State OR     No. 13, Bamgbose Street, Lagos.","","LAG","08033345225, 0702744284, 0709985641","","","","","NGN","Domestic","","",
"Ergo BDC Ltd","Bureau De Change","","","PLOT 118, AMINU KANO CRESCENT WUSE 11","","ABU","","","","","","NGN","Domestic","","",
"Eronmon Bureau De Change","Bureau De Change","","","96/102 Broad Street, Lagos Island","","LAG","","","","","","NGN","Domestic","","",
"Es Bureau De Change Limited","Bureau De Change","","","H10, Ikota Shopping Complex, Lekki - Lagos","","LAG","8033147141","","","","","NGN","Domestic","","",
"Estab BDC Ltd","Bureau De Change","","","No. 13/17, Breadfruit Street, Lagos Island, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Estacode BDC","Bureau De Change","","","No 55, Ibrahim Taiwo Road, kano.","","KAN","8036010331","","","","","NGN","Domestic","","",
"Etarime BDC Ltd","Bureau De Change","","","AHMADU BELLO WAY,OPPOSITE KWARA HOTEL, ILORIN","","KWA","","","","","","NGN","Domestic","","",
"Ethan BDCc Ltd","Bureau De Change","","","45/47 Breadfruit Street,Lagos Island ,Lagos.","","LAG","80333244857","","","","","NGN","Domestic","","",
"E-Time BDC ","Bureau De Change","","","NO.6 MILLER ROAD, NAIBAWA, KANO","","KAN","","","","","","NGN","Domestic","","",
"Etisko Bureau De Change Limited","Bureau De Change","","","139, Ndidem Usang Iso Road, Calabar","","CRO","08034802199; 08033065751","","","","","NGN","Domestic","","",
"Eurostar Bureau De Change Limited","Bureau De Change","","","Suite 11, 2nd Floor, Zone 4 Plaza, Addis Ababa Crescent, Wuse, Abuja","","ABU","8032212529","","","","","NGN","Domestic","","",
"Everfirst BDC Ltd","Bureau De Change","","","NO. OSITELU STREET, OFF OTIGBA ST. IKEJA LAGOS","","LAG","08161560138, 014061598","","","","","NGN","Domestic","","",
"Everlasting Glory Bureau De Change Limited","Bureau De Change","","","JBF Business Plaza, 101A, Okota Road, Okota - Lagos","","LAG","","","","","","NGN","Domestic","","",
"Everlead BDC Ltd","Bureau De Change","","","NO. 202 AWOLOWO ROAD, IKOYI LAGOS","","LAG","2348030555010, 23412707270","","","","","NGN","Domestic","","",
"Ever-Ready BDC Ltd","Bureau De Change","","","No. 14 Kano Street, Onitsha","","ANA","","","","","","NGN","Domestic","","",
"Exactchange BDC Ltd","Bureau De Change","","","SUITE 30/31, 132 AGO PALACE WAY, AGO-OKOTA, ISOLO","","LAG","081-62806486","","","","","NGN","Domestic","","",
"Exchange BDC Ltd","Bureau De Change","","","NO. 17B OKO-AWO STREET, VICTORIA ISLAND, LAGOS","","LAG","080-33066084","","","","","NGN","Domestic","","",
"Exclusive Combination BDC Ltd","Bureau De Change","","","64, Docemo Street, Idumota, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Expert BDC Ltd","Bureau De Change","","","SUITE H528,IKOTA SHOPPING COMPLEX,VGC,LEKKI","","LAG","8022242278","","","","","NGN","Domestic","","",
"Expert Friends BDC Limited","Bureau De Change","","","No.96/102,Broad Street ,Lagos Island,Lagos","","LAG","8024919195","","","","","NGN","Domestic","","",
"Exquisite BDC","Bureau De Change","","","No.3, Yolawa Link, Badawa Layout, Nasarawa,Kano.","","KAN","8032703235","","","","","NGN","Domestic","","",
"Extablishment BDC Limited","Bureau De Change","","","Plot 2249,Zone 4 Plaza,Abuja","","ABU","","","","","","NGN","Domestic","","",
"Ezenwata BDC","Bureau De Change","","","3rd Floor, Zone 4 Plaza, Wuse Zone 4, Abuja.","","ABU","","","","","","NGN","Domestic","","",
"Ezeudo-Nobi BDC Ltd","Bureau De Change","","","No. 119, Old ojo road, kuje amuwo, Laqos","","LAG","8064488662","","","","","NGN","Domestic","","",
"Fadama BDC","Bureau De Change","","","Plot 2249, adis Ababa Crescent, Wuse Zone 4, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Fafe BDC","Bureau De Change","","","No.14B Sangha Street, Maitama,Abuja.","","ABU","8034778644","","","","","NGN","Domestic","","",
"Fag Forex Bureau De Change Limited","Bureau De Change","","","59, Murtala Muhammed Way, Wapa, Kano","","KAN","064-644440","","","","","NGN","Domestic","","",
"Fai'da Bureau De Change Limited","Bureau De Change","","","No. 1, 1st Floor, Wuse Shopping Complex,  Addis Ababa Crescent, Zone 4, Wuse, ABUJA","","ABU","064 - 647420; 0803 3114544","","","","","NGN","Domestic","","",
"Fair Mont BDC Ltd","Bureau De Change","","","NO. 22 OPEBI ROAD, IKEJA LAGOS","","LAG","","","","","","NGN","Domestic","","",
"Faith & Unity BDC","Bureau De Change","","","5C/6C, Faith Road, by Unity Road Kantin Kwari Market","","KAN","8035945499","","","","","NGN","Domestic","","",
"Faiz BDC Ltd","Bureau De Change","","","30 IKORODU ROAD,JIBOWU, YABA. LAGOS","","LAG","08053248221, 018766645","","","","","NGN","Domestic","","",
"Faiza BDC Ltd","Bureau De Change","","","No. B106, Ramat Shopping Complex, Sir Kashim Ibrahim Way, Maiduguri, Borno State","","BOR","","","","","","NGN","Domestic","","",
"Falala BDC","Bureau De Change","","","No 2, Gidan Nana, Maiduguri Road, Kano","","KAN","7033148909","","","","","NGN","Domestic","","",
"Famaj Bureau De Change Ltd","Bureau De Change","","","22/24, Beirut Road, Kano","","KAN","","","","","","NGN","Domestic","","",
"Famlil Bureau De Change Limited","Bureau De Change","","","No. 536, Haruna Kasim Street, fagge D1, Kano","","KAN","8035880244","","","","","NGN","Domestic","","",
"Famo Bureau De Change Ltd","Bureau De Change","","","Ultima Plaza, Suite 18, 21 Road, FESTAC, Lagos","","LAG","0805 410 8869","","","","","NGN","Domestic","","",
"Fankes BDC","Bureau De Change","","","No 10,IBB Way,Kanti kwari,Kano.","","KAN","80545154643","","","","","NGN","Domestic","","",
"Far-Away Ventures BDC Ltd","Bureau De Change","","","No. 6, Darasalem Street, Wuse 2.","","ABU","8033482915","","","","","NGN","Domestic","","",
"Fari Bureau De Change Limited","Bureau De Change","","","560, Murtala Mohd Way, Wappa, Kano","","KAN","","","","","","NGN","Domestic","","",
"Far-Uk BDC Ltd","Bureau De Change","","","No. 11 State Road, Kano","","KAN","8034259338","","","","","NGN","Domestic","","",
"Fastrack Bureau De Change Limited","Bureau De Change","","","132, Broad Street, 3rd Floor, Lagos","","LAG","8039777017","","","","","NGN","Domestic","","",
"Fatima BDC Ltd","Bureau De Change","","","No. 1, Bank Road, Audu Lukat House, Kano","","KAN","","","","","","NGN","Domestic","","",
"Fatimezara BDC Ltd","Bureau De Change","","","Suite 4, Third Floor, Zone 4 Plaza, Addis Ababa Crescent, Wuse Zone 4, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Favour Bureau De Change Limited","Bureau De Change","","","2A, Johnson Street, Onitsha - Anambra State","","ANA","","","","","","NGN","Domestic","","",
"Favourite BDC Ltd","Bureau De Change","","","No. 133, Ikenegbu Layout, Owerri","","IMO","","","","","","NGN","Domestic","","",
"Faxi BDC","Bureau De Change","","","Suite 62, Nicon Luxury Hote, Area 11, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Feel Deal BDC","Bureau De Change","","","No.2 Estu Nupe Street,Gyadi-Gyadi,Kano.","","KAN","8032703235","","","","","NGN","Domestic","","",
"Felmak Bureau De Change Limited","Bureau De Change","","","Plot 11B, Dr. Rufus Giwa Close, Off Adebayo Doherty Road, Lekki Phase 1, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Fem Folay Nigeria Limited (BDC)","Bureau De Change","","","94/95, Broad Street, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Femous Bureau De Change Limited","Bureau De Change","","","203, Igbosere Road, Lagos","","LAG","01-4341574, 08033812030","","","","","NGN","Domestic","","",
"Ferdinard BDC Ltd","Bureau De Change","","","NO. 4/6 DAISI OKEOWO AVENUE, EYITA-OJOKORO,IKORODU LAGOS","","LAG","","","","","","NGN","Domestic","","",
"Fergo Bureau De Change Limited","Bureau De Change","","","6, Sanni Adewale Street, 3rd Floor, Off Martins Str., V/I, Lagos","","LAG","0803 393 6005; 0703 159 4999","","","","","NGN","Domestic","","",
"Fhio Bureau De Change","Bureau De Change","","","No. 28A, Oju Olobun, V/I. Lagos","","LAG","","","","","","NGN","Domestic","","",
"Fiaamfarm BDC Limited","Bureau De Change","","","Suite 34, Haji Camp Complex, Murtala Muhammed Local Airport,Ikeja, Lagos","","LAG","8055569999","","","","","NGN","Domestic","","",
"Fibre Bureau De Change Limited","Bureau De Change","","","Suite B4, Shelter Aid Plaza, Plot 2871, Mambollo Street, Wuse Zone 2, Abuja ","","ABU","01 - 269 3062","","","","","NGN","Domestic","","",
"Fidella BDC Ltd","Bureau De Change","","","PLOT 1637 ADETOKUNBO ADEMOLA ST.VICTORIA ISLAND LAGOS.","","LAG","","","","","","NGN","Domestic","","",
"Fiduciary Funds Bureau De Change Limited","Bureau De Change","","","Suite BS 129, Old Banex Plaza, Aminu Kano Crescent, Wuse II, Abuja","","ABU","8037877658","","","","","NGN","Domestic","","",
"Fieldreams Bureau De Change Limited","Bureau De Change","","","21B, Kofo Abayomi Street, Victoria Island, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Fina Fund Bureau De Change","Bureau De Change","","","40/52, Idoluwo Street, Lagos Island, Lagos.","","LAG","01-8986055; 0803 3445 926","","","","","NGN","Domestic","","",
"Fina-Craft Bureau De Change Limited","Bureau De Change","","","Zone A, Block 4, Suite 92, ASPAMDA Plaza, Interl. Trade Fair, Lagos","","LAG","8033493794","","","","","NGN","Domestic","","",
"Finance Bridge BDC Ltd","Bureau De Change","","","4TH FLOOR,19 TINUBU STREET, LAGOS ISLAND","","LAG","8033259790","","","","","NGN","Domestic","","",
"Financial Spectrum Bureau De Change","Bureau De Change","","","23/25 Ijora Causeway, Beside Seven Up, Ijora, Lagos.","","LAG","01 - 4759789; 0803 4753 999","","","","","NGN","Domestic","","",
"Finder Int'l BDC Ltd","Bureau De Change","","","No. 16, Bello Ibrahim Taiwo Rd. Kano","","KAN","","","","","","NGN","Domestic","","",
"Fine Star BDC","Bureau De Change","","","Zone B, Block 8, Shop 52, ASPAMDA, International Trade Fair","","LAG","8097739666","","","","","NGN","Domestic","","",
"Finishline Bureau De Change Limited","Bureau De Change","","","53, Sam Sonibare Street, Surulere, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Finspect BDC Ltd","Bureau De Change","","","No23/25 Ijora Causeway,Beside Seven Up,Ijora Lagos.","","LAG","","","","","","NGN","Domestic","","",
"Firah BDC Ltd","Bureau De Change","","","BIOCIC NO. 2 BEHIND FOREIGN AFFAIRS, ABUJA","","ABU","","","","","","NGN","Domestic","","",
"First BBY Bureau De Change Limited","Bureau De Change","Idris Balarabe BDC","","281, Arkila, Federal Low Cost Layout, Sokoto","","SOK","","","","","","NGN","Domestic","","",
"First Capitol Express Bureau De Change Ltd","Bureau De Change","","","Plateau state Liason Office, Plot 1234 Ahmadu Bello Way, Victoria Island","","LAG","","","","","","NGN","Domestic","","",
"First Choice BDC Ltd","Bureau De Change","","","NO. 1 CIVIC CENTRE, KANO","","ABU","08034295873, 08036371731","","","","","NGN","Domestic","","",
"First Class BDC Ltd","Bureau De Change","","","No. 59, Murtala Moh'd Way, Kano","","KAN","","","","","","NGN","Domestic","","",
"First Comers BDC Ltd","Bureau De Change","","","NO 1 IDEJO STREET, VICTORIA ISLAND LAGOS","","LAG","070-98707015","","","","","NGN","Domestic","","",
"First Direct BDC Ltd","Bureau De Change","","","1ST FLOOR, 156 OBAFEMI AWOLOWO WAY, IKEJA LAGOS","","LAG","01-8763888, 08083737893","","","","","NGN","Domestic","","",
"First Fruit BDC Ltd","Bureau De Change","","","No. 20, Old Market Road, Odoakpu, Onitsha","","ANA","","","","","","NGN","Domestic","","",
"First Fund BDC Ltd","Bureau De Change","","","NO,52 BODE THOMAS STREET, SURULERE, LAGOS","","LAG","08033078247, 08077112200","","","","","NGN","Domestic","","",
"First Sahara Bureau De Change Limited","Bureau De Change","","","3rd Floor, Medife House, Wuse Zone 5, Abuja","","ABU","","","","","","NGN","Domestic","","",
"First Town BDC","Bureau De Change","","","No.440, Fagge,Wapa,Diduni Street,Kano.","","KAN","8092755349","","","","","NGN","Domestic","","",
"First Tropic BDC Ltd","Bureau De Change","","","No. 80, Randle Avenue, Surulere.","","LAG","08055618883, 01-7756233","","","","","NGN","Domestic","","",
"Firsthand Bureau De Change","Bureau De Change","","","1, Bida Road, 3rd Floor, Odoakpo, Onitsha","","ANA","0803 340 4644; 046 - 313089; 216315","","","","","NGN","Domestic","","",
"Five Star Bureau De Change Limited","Bureau De Change","","","22/24 Abibu Oki Street, LAGOS","","LAG","0803 315 1300","","","","","NGN","Domestic","","",
"Flash BDC Ltd","Bureau De Change","","","No. 6 Olorogun Street, 3rd floor, Oba Adenuji Adele Plaza, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Flash Light BDC","Bureau De Change","","","No. 59 Murtala Mohammed Way, Kano.","","KAN","8076188157","","","","","NGN","Domestic","","",
"Fliptex BDC Limited","Bureau De Change","","","No. A4 Suite 116,Aspamda Trade Fair,Badagry Express Way,Lagos","","LAG","","","","","","NGN","Domestic","","",
"Floats Bureau De Change Limited","Bureau De Change","","","Suite B 11, Melita Plaza Area 11, garki, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Florcarl BDC Limited","Bureau De Change","","","No.15, Koseh Street, Balogun Lagos Island, Lagos","","LAG","8054514643","","","","","NGN","Domestic","","",
"Flourish Bureau De Change Ltd","Bureau De Change","","","93, Broad Street, 2nd Floor, Behind Sweet Sensation Building, Lagos","","LAG","01-2665169; 0702 8090946","","","","","NGN","Domestic","","",
"Fly Forward Bureau De Change Limited","Bureau De Change","","","59, Murtala Mohd Way, Wapa, Kano","","KAN","","","","","","NGN","Domestic","","",
"Foblo Bureau De Change Ltd","Bureau De Change","","","152, Idi Iroko Road, Otta, Ogun State","","OGU","","","","","","NGN","Domestic","","",
"Focused Bureau De Change Limited","Bureau De Change","","","20, Agunbiade Street, 2nd Floor, Agege - Lagos","","LAG","","","","","","NGN","Domestic","","",
"Fokat Bureau De Change Limited","Bureau De Change","","","No. 2, Abiodun Amore Complex, Nyerere Road, Sabo, Ibadan, Oyo State","","OYO","","","","","","NGN","Domestic","","",
"Foreign Buck BDC Ltd","Bureau De Change","","","8,UMORU CLOSE,OFF SAMUEL LADOKE AKINTOLA BOULEVARD,GARKI II.","","ABU","0-98700020","","","","","NGN","Domestic","","",
"Foresight Bureau De Change Limited","Bureau De Change","","","Old Niger House, 163/165, Broad Street, P.O. Box 9226, Marina","","LAG","01-2641043; 01-2660621, 01-2665457 ","","","","","NGN","Domestic","","",
"Forever BDC Ltd.","Bureau De Change","","","No. 59, Illo Road, Wapa, Fagge, Kano.","","KAN","8092755349","","","","","NGN","Domestic","","",
"Forex Care Global BDC","Bureau De Change","","","NO,57A,Road 37, 3rd Avenue, Gwarinpa Abuja","","ABU","8034535919","","","","","NGN","Domestic","","",
"Forex Swap BDC Ltd","Bureau De Change","","","NO.55 IBRAHIM TAIWO ROAD, KANO","","KAN","080-32749116","","","","","NGN","Domestic","","",
"Forex Trust Bureau De Change Ltd","Bureau De Change","","","","","ABU","","","","","","NGN","Domestic","","",
"Forexcorp BDC Ltd","Bureau De Change","","","No.145,6th Avenue,Gwarinpa 2 Estate,Abuja.","","ABU","8037017160","","","","","NGN","Domestic","","",
"Forexsquare BDC Ltd ","Bureau De Change","","","No. 24B, Sikiru Alade Oloko Crescent, Lekki Phase 1, Lagos OLD ADDRESS: PLOT 34, 13A ADMIRALTY WAY, LEKKI Phase 1, LAGOS","","LAG","08056664144, 08056664133","","","","","NGN","Domestic","","",
"Forexta BDC Ltd","Bureau De Change","","","OGBA SHOPPING ARCADE,NO 26, OGBA","","LAG","","","","","","NGN","Domestic","","",
"Forextrust BDC Ltd","Bureau De Change","","","No.9, maitangaran House, Zoo Rd. Kano","","KAN","","","","","","NGN","Domestic","","",
"Formidable Bureau De Change Limited","Bureau De Change","","","88/92, Broad Street, Banuso House, 2d Floor, Opposite Mainstreet Bank, Lagos. Old Address: 2ND FLOOR, 110, BAMGBOSE STREET, LAGOS","","LAG","80588174006","","","","","NGN","Domestic","","",
"Forthright BDC","Bureau De Change","","","No. 23 Ekukinam Street, Utako","","ABU","","","","","","NGN","Domestic","","",
"Founder Bureau De Change Limited","Bureau De Change","","","No. 11 , Kasshim Ibrahim Road, Old GRA, Makurdi","","BEN","","","","","","NGN","Domestic","","",
"Fountain BDC Ltd","Bureau De Change","","","FIRST AVENUE, HOUSE 32, GWARINPA ESTATE, ABUJA","","ABU","080-32212529","","","","","NGN","Domestic","","",
"Fralink BDC Ltd","Bureau De Change","","","NO 6 CHURCH STREET LAGOS","","LAG","070-98120405","","","","","NGN","Domestic","","",
"Framon BDC","Bureau De Change","","","No. 11 Abibu Oki Street, Lagos Island, Lagos","","LAG","8033009496","","","","","NGN","Domestic","","",
"Frank Topsy BDC Ltd","Bureau De Change","","","No. 13, Bamgbose Street, Lagos Island, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Fredie Bureau De Change Limited","Bureau De Change","","","228, Ikorodu Road, Palm Grove, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Freedom BDC Ltd","Bureau De Change","","","Block EU9-20, Nigeria Army Shopping Complex (The Arena), Agege Motor Road, Bolade, Oshodi, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Freshfield Bureau De Change Limited","Bureau De Change","","","3rd Floor, Suite 39, FABDAL Plaza, Addis Ababa Crescent, Zone 4 Plaza, Abuja","","ABU","8034080180","","","","","NGN","Domestic","","",
"Freshtart BDC Limited","Bureau De Change","","","No.88/92, Broad Street,Lagos","","LAG","8024919195","","","","","NGN","Domestic","","",
"Frexol BDC Ltd","Bureau De Change","","","Suite 31, Zone 4 Plaza, Wuse, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Friends BDC Ltd","Bureau De Change","","","Trinity House,Plot 948 Cadastral Zone,BO6 Behind Federal Ministry of Works,Mabushi,Abuja","","ABU","","","","","","NGN","Domestic","","",
"Front View BDC Limited","Bureau De Change","","","No. 55, Ibrahim Taiwo Road,Kano.","","KAN","8036010334","","","","","NGN","Domestic","","",
"Frontier Bureau De Change","Bureau De Change","","","Unit 221, All Seasons Place, 74, Isheri Road, Ojodu, Lagos State","","LAG","01 - 8780200","","","","","NGN","Domestic","","",
"Fruition BDC Ltd","Bureau De Change","","","NO.291 IKORODU ROAD , MARYLAND LAGOS","","LAG","080-33049445","","","","","NGN","Domestic","","",
"Fruits BDC","Bureau De Change","","","3rd floor, Mandilas House, No. 96 Broad Street, Lagos","","LAG","","","","","","NGN","Domestic","","",
"FSA Partners Bureau De Change","Bureau De Change","","","11, Afariogun Street, off awolowo Way, Ikeja, Lagos","","LAG","","","","","","NGN","Domestic","","",
"FST Int'l BDC Ltd ","Bureau De Change","","","SUITE F18,BLOCK F EXTENSION,AREA 11 SHOPPING MALL, ABUJA","","ABU","","","","","","NGN","Domestic","","",
"Full Compliance BDC Ltd","Bureau De Change","","","N0 55 IBRAHIM TIAWO ROAD","","KAN","8058196403","","","","","NGN","Domestic","","",
"Fullrange Exchange BDC","Bureau De Change","","","11th Floor, Wema Bank Building, Central Business District","","ABU","","","","","","NGN","Domestic","","",
"Fumsky BDC","Bureau De Change","","","No.5A Ezekiel Street, Ikeja, Lagos","","LAG","8024919195","","","","","NGN","Domestic","","",
"Funds Matrix BDC","Bureau De Change","","","Suite BA 30 & 32 Maryland Business Plaza, 350-360 Ikorodu Road Maryland Lagos","","LAG","8033135814","","","","","NGN","Domestic","","",
"Fundworth Bureau De Change Limited","Bureau De Change","","","3/5, Sulu Bolaji Street, Off Abibu Oki Street, Lagos.","","LAG","08023190406, 08057305015, 08029595262' 08023275942","","","","","NGN","Domestic","","",
"Funnacle BDC","Bureau De Change","","","F21, Metro Plaza, CBD, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Funtoki Bureau De Change Limited","Bureau De Change","","","78, Yoruba Road, Sabon Gari, Kano","","KAN","08032749116; 08029534449","","","","","NGN","Domestic","","",
"Funtua City Bureau De Change Ltd","Bureau De Change","","","20, Sanni Adewale Street, Lagos Island","","LAG","","","","","","NGN","Domestic","","",
"Fusion Bureau De Change Limited","Bureau De Change","","","Plot 855, Suite 005, Danyadado House, Opp. Le Meridien Hotel, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Futuhi BDC Ltd","Bureau De Change","","","No.11, Zaria Rd. Kano","","ABU","","","","","","NGN","Domestic","","",
"FX Global Services BDC","Bureau De Change","","","No. 12, Moh'd Yusuf Lere Drive, Unguwar Rimi, Kaduna","","KAD","","","","","","NGN","Domestic","","",
"FX Union Bureau De Change","Bureau De Change","","","6, Eric Moore Close, Surulere, Lagos","","LAG","0803 308 1911","","","","","NGN","Domestic","","",
"G.K. & E Bureau De Change Limited","Bureau De Change","","","5B, Ahmed Onibudo Street, Victoria Island, Lagos","","LAG","0803 713 7193, 08023033232","","","","","NGN","Domestic","","",
"Gabson Exchange BDC","Bureau De Change","","","No.1 Murtala Mohammed International Airport Ikeja, Lagos. ","","LAG","8055569999","","","","","NGN","Domestic","","",
"Gadon Kaya BDC Ltd","Bureau De Change","","","NO. 27/32 BEIRUT ROAD, KANO","","KAN","","","","","","NGN","Domestic","","",
"Gagarimi BDC Ltd","Bureau De Change","","","SHOP NO.26 ILLO ROAD, FAGGE D2 KANO","","KAN","","","","","","NGN","Domestic","","",
"Gaja BDC Ltd","Bureau De Change","","","Zone 4 Plaza, Wuse Zone 4, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Gajegumi Kalgwai Bureau De Change Limited","Bureau De Change","","","14/19, Breadfruit Street, Lagos Island","","LAG","","","","","","NGN","Domestic","","",
"Galaha Bureau De Change Limited","Bureau De Change","","","Suite 4, 2nd Floor, Zone 4 Plaza, 18 Addis Ababa Crescent, Wuse, Abuja","","ABU","08023662561, 08033538695","","","","","NGN","Domestic","","",
"Galaxy Traders BDC","Bureau De Change","","","Suite C-34, Efab Shopping Mall, Ahmadu Bello Way, Area 11, Garki, Abuja","","ABU","7034951288","","","","","NGN","Domestic","","",
"Gamaj BDC Ltd","Bureau De Change","","","No. 21 B,Obi Village Opposite Arik Airline,MM2 Ikeja,Lagos.","","LAG","8055569999","","","","","NGN","Domestic","","",
"Gamal BDC Ltd","Bureau De Change","","","NO 29 OBI VILLAGE LOCAL AIRPORT,IKEJA","","LAG","08094449999, 08029111717","","","","","NGN","Domestic","","",
"Gamboruma Bureau De Change Limited","Bureau De Change","","","13, Babban Layi, Mustapha Umar Road, Maiduguri, Borno State","","BOR","076-233738; 08033721304, 08053871066","","","","","NGN","Domestic","","",
"Gani Bureau De Change Limited","Bureau De Change","","","2, Sultan Bello Road, Sokoto","","SOK","08033577445, 08034477957, 08053605240","","","","","NGN","Domestic","","",
"Ganuwa Bureau De Change Limited","Bureau De Change","","","Opposite Garu Microfinance Bank, Ilelah Street, Bauchi","","BAU","","","","","","NGN","Domestic","","",
"Garkuwa Investment & Exchange BDC Limited","Bureau De Change","","","N0.565,Glass House,Wapa,Fagge,Kano.","","LAG","8036010331","","","","","NGN","Domestic","","",
"Gaskiya BDC Ltd","Bureau De Change","","","D15, KARAYA STREET,GARKI 11,FCT.","","ABU","","","","","","NGN","Domestic","","",
"Gaskiya Money Trust BDC Ltd","Bureau De Change","","","NO.60 ILLO AVENUE BY MURTALA MOHAMMED WAY, WAPA COMPLEX, KANO.","","KAN","7031167195","","","","","NGN","Domestic","","",
"Gata BDC Ltd","Bureau De Change","","","No. 68, Illo Road, Wapa, Kano","","KAN","","","","","","NGN","Domestic","","",
"Gazaz BDC Limited","Bureau De Change","","","No.59,Murtala Mohammed Way,Wapa Fagge,Kano","","KAN","","","","","","NGN","Domestic","","",
"Gbekemo Bureau De Change Ltd","Bureau De Change","","","No 51, 3rd Floor, Zone 4 Plaza, Wuse, Abuja","","KAN","","","","","","NGN","Domestic","","",
"Gbodesherry BDC Ltd","Bureau De Change","","","No. 39, Ereko Street, Idumota, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Gby Sure BDC Limited","Bureau De Change","","","Zone A,Block 4,Shop 11,Aspamda Plaza,Trade Faire Complex,Lagos","","LAG","8063371314","","","","","NGN","Domestic","","",
"Gedegwu BDC","Bureau De Change","","","Bar Beach Towers,Victoria Island ,Lagos","","LAG","","","","","","NGN","Domestic","","",
"Genelo BDC","Bureau De Change","","","No. 12 Adewale Crescent, Off Ewela Road, Oshodi Apapa Express Way, Lagos","","LAG","8033014701","","","","","NGN","Domestic","","",
"Geneza BDC Ltd","Bureau De Change","","","No.19,Adeola Hopewell Victoria Island,Lagos","","LAG","8024919195","","","","","NGN","Domestic","","",
"Genman BDC Ltd","Bureau De Change","","","JONACON PLAZA,ZONE C BLOCK 5B ASPAMDA","","LAG","08033234721, 08033239664","","","","","NGN","Domestic","","",
"Geobern Bureau De Change Limited","Bureau De Change","","","3, Pipeline Road, Alake, Idimu-Ikotun Road, Idimu, Lagos","","LAG","8036650933","","","","","NGN","Domestic","","",
"Gezawa Bureau De Change Limited","Bureau De Change","","","(1st Floor) 12, Sanni Adewale Street, Lagos","","LAG","01-7253994; 0802 312 7323","","","","","NGN","Domestic","","",
"Gfex BDC Ltd","Bureau De Change","","","SUITE 189 IKOTA SHOPPINH COMPLEX, VGC LAGOS","","LAG","08025885518, 08130171476","","","","","NGN","Domestic","","",
"GFR BDC","Bureau De Change","","","113, Awolowo Road, Ikoyi","","LAG","8033078247","","","","","NGN","Domestic","","",
"Ghaml BDC Limited","Bureau De Change","","","58/60,Broad Street, Lagos Island,Lagos","","ABU","8023014796","","","","","NGN","Domestic","","",
"Giant BDC","Bureau De Change","","","Shop 1, 210/211 Road 4, shopping Complex, Ikota, Lagos.","","LAG","8033676352","","","","","NGN","Domestic","","",
"GIC BDC Ltd","Bureau De Change","","","SUITE 1A, FIRST FLOOR,OYO HOUSE CENTRAL BUSINESS DISTRICT,ABUJA","","ABU","080-37006625","","","","","NGN","Domestic","","",
